station_id,name,short_name,lat,lon,region_id,rental_methods,capacity,external_id,eightd_has_key_dispenser,has_kiosk,station_geom
112,Harrison St at 17th St,SF-N24-2,37.7638471,-122.4130036,3,,19,,,true,POINT(-122.4130036 37.7638471)
97,14th St at Mission St,SF-M22-1,37.768226999999996,-122.42035899999999,3,,19,,,true,POINT(-122.420359 37.768227)
100,Bryant St at 15th St,SF-M25,37.7671004,-122.410662,3,,19,,,true,POINT(-122.410662 37.7671004)
122,19th St at Mission St,SF-O23,37.760278,-122.419074,3,,19,,,true,POINT(-122.419074 37.760278)
124,19th St at Florida St,SF-O25-1,37.7604469,-122.410807,3,,19,,,true,POINT(-122.410807 37.7604469)
99,Folsom St at 15th St,SF-M24,37.7670373,-122.4154425,3,,19,,,true,POINT(-122.4154425 37.7670373)
123,Folsom St at 19th St,SF-O24,37.7605936,-122.4148171,3,,19,,,true,POINT(-122.4148171 37.7605936)
113,Franklin Square,SF-N25,37.7645435,-122.410349,3,,19,,,true,POINT(-122.410349 37.7645435)
129,Harrison St at 20th St,SF-P24,37.758862,-122.412544,3,,19,,,true,POINT(-122.412544 37.758862)
223,16th St Mission BART Station 2,SF-N22-1B,37.7648385,-122.420141,3,,19,,,true,POINT(-122.420141 37.7648385)
356,Valencia St at Clinton Park,SF-L22,37.76918818,-122.42228508,3,,19,,,true,POINT(-122.42228508 37.769188178)
76,McCoppin St at Valencia St,SF-K22-2,37.771679999999996,-122.422301,3,,19,,,true,POINT(-122.422301 37.77168)
398,Leavenworth St at Broadway,SF-D24,37.79647069,-122.41685763,3,,19,,,true,POINT(-122.41685763 37.796470692)
424,Greenwich St at Webster St,SF-C20,37.79920793,-122.43412167,3,,19,,,true,POINT(-122.434121668 37.799207926)
478,Greenwich St at Franklin St,SF-B21,37.80025443,-122.42591947,3,,19,,,true,POINT(-122.425919473 37.800254431)
42,San Francisco City Hall (Polk St at Grove St),SF-I23-2,37.77865,-122.41823,3,,19,,,true,POINT(-122.41823 37.77865)
370,Jones St at Post St,SF-G25,37.78732677,-122.41327822,3,,19,,,true,POINT(-122.413278222 37.787326766)
458,Frederick St at Arguello Blvd,SF-M13,37.76578299,-122.45763659,3,,19,,,true,POINT(-122.457636595 37.765782987)
84,Duboce Park,SF-L19,37.7692005,-122.4338119,3,,19,,,true,POINT(-122.4338119 37.7692005)
377,Fell St at Stanyan St,SF-K15-,37.7719511,-122.4537048,3,,19,,,true,POINT(-122.4537048 37.7719511)
387,Randall St at Chenery St,SF-U21,37.73981272,-122.42552251,3,,19,,,true,POINT(-122.425522506 37.739812717)
529,Arlington St at Roanoke St,SF-W19-2,37.734966,-122.429772,3,,19,,,true,POINT(-122.429772 37.734966)
28,The Embarcadero at Bryant St,SF-G30-2,37.787332,-122.3881105,3,,19,,,true,POINT(-122.3881105 37.787332)
24,Spear St at Folsom St,SF-F30-2,37.7896767,-122.3904285,3,,19,,,true,POINT(-122.3904285 37.7896767)
26,1st St at Folsom St,SF-G29-2,37.78729,-122.39438,3,,19,,,true,POINT(-122.39438 37.78729)
284,Yerba Buena Center for the Arts (Howard St at 3rd St),SF-H27-1,37.78487208,-122.40087569,3,,19,,,true,POINT(-122.400875688 37.784872084)
9,Broadway at Battery St,SF-C28-2,37.79857211,-122.40086898,3,,19,,,true,POINT(-122.400868982 37.798572108)
503,London St at Geneva Ave,SF-BB17,37.71616095,-122.44010568,3,,19,,,true,POINT(-122.440105677 37.716160945)
105,16th St at Prosper St,SF-N20-1,37.764285,-122.4318042,3,,19,,,true,POINT(-122.4318042 37.764285)
96,Dolores St at 15th St,SF-M21,37.7661,-122.4266585,3,,19,,,true,POINT(-122.4266585 37.7661)
118,Eureka Valley Recreation Center,SF-O18,37.759211,-122.4367975,3,,19,,,true,POINT(-122.4367975 37.759211)
106,Sanchez St at 17th St,SF-N20-2,37.7632417,-122.4306746,3,,19,,,true,POINT(-122.4306746 37.7632417)
86,Market St at Dolores St,SF-L21,37.769244,-122.4269645,3,,19,,,true,POINT(-122.4269645 37.769244)
141,Valencia St at Cesar Chavez St,SF-S22-1,37.7479981,-122.4202187,3,,19,,,true,POINT(-122.4202187 37.7479981)
147,29th St at Tiffany Ave,SF-T22,37.7440667,-122.4214722,3,,19,,,true,POINT(-122.4214722 37.7440667)
362,Lane St at Revere Ave,SF-X30,37.73172669,-122.39005566,3,,19,,,true,POINT(-122.390055656 37.731726694)
358,Williams Ave at 3rd St,SF-Y29,37.72927865,-122.39289612,3,,19,,,true,POINT(-122.392896116 37.729278652)
361,Mendell St at Fairfax Ave,SF-V30,37.73985302,-122.38565549,3,,19,,,true,POINT(-122.385655493 37.739853018)
360,Jerrold Ave at 3rd St,SF-V29,37.73890064,-122.38952458,3,,19,,,true,POINT(-122.389524579 37.738900644)
410,Illinois St at Cesar Chavez St,SF-S30,37.7501075,-122.3865015,3,,19,,,true,POINT(-122.3865015 37.7501075)
432,Quesada Ave at 3rd St,SF-X29,37.73309281,-122.39097297,3,,19,,,true,POINT(-122.390972972 37.73309281)
435,Jennings St at Revere Ave,SF-Y30,37.72939321,-122.3865366,3,,19,,,true,POINT(-122.386536598 37.729393207)
438,Oakdale Ave at Phelps St,SF-V28,37.7370395,-122.3944985,3,,19,,,true,POINT(-122.3944985 37.7370395)
488,Egbert Ave at Jennings St,SF-AA28,37.72262992,-122.39249647,3,,19,,,true,POINT(-122.392496467 37.722629922)
509,Evans Ave at Newhall St,SF-U30,37.742232,-122.386843,3,,19,,,true,POINT(-122.386843 37.742232)
471,Turk Blvd at Stanyan St,SF-J14,37.77760931,-122.45462179,3,,21,,,true,POINT(-122.454621792 37.77760931)
419,Fern St at Polk St,SF-F23,37.788188999999996,-122.4205245,3,,21,,,true,POINT(-122.4205245 37.788189)
466,5th Ave at Anza St,SF-H12,37.77948761,-122.46314183,3,,21,,,true,POINT(-122.463141829 37.779487609)
445,Natoma St at New Montgomery St,SF-G28-2,37.7864555,-122.399749,3,,21,,,true,POINT(-122.399749 37.7864555)
54,Alamo Square (Steiner St at Fulton St),SF-J19,37.77754677,-122.43327409,3,,23,,,true,POINT(-122.43327409 37.77754677)
365,Turk St at Fillmore St,SF-I20,37.78045006,-122.4319464,3,,23,,,true,POINT(-122.431946397 37.78045006)
498,Frida Kahlo Way at Cloud Cir,SF-Y14,37.72588979,-122.45244384,3,,23,,,true,POINT(-122.452443838 37.725889789)
482,Brannan St at 7th St,SF-K27-2,37.772712,-122.4035775,3,,23,,,true,POINT(-122.4035775 37.772712)
519,Townsend St at 6th St,SF-K28-3,37.773238,-122.399998,3,,23,,,true,POINT(-122.399998 37.773238)
514,Laurel St at California St,SF-F16,37.7866115,-122.4500525,3,,23,,,true,POINT(-122.4500525 37.7866115)
352,Goettingen St at Bacon St,SF-Y25,37.72694297,-122.40659952,3,,23,,,true,POINT(-122.406599522 37.726942966)
477,17th Ave at Geary Blvd,SF-G9,37.78071989,-122.4761036,3,,23,,,true,POINT(-122.476103604 37.780719886)
515,18th Ave at California St,SF-F9,37.785111,-122.477667,3,,23,,,true,POINT(-122.477667 37.785111)
516,Clement St at 32nd Ave,SF-G5,37.781721999999995,-122.49284399999999,3,,23,,,true,POINT(-122.492844 37.781722)
521,48th Ave at Cabrillo St,SF-J1,37.772954,-122.509071,3,,23,,,true,POINT(-122.509071 37.772954)
131,22nd St at Dolores St,SF-Q21-1,37.75499463,-122.4258368,3,,23,,,true,POINT(-122.4258368 37.75499463)
380,Masonic Ave at Turk St,SF-I16,37.77904666,-122.44729131,3,,23,,,true,POINT(-122.447291315 37.779046658)
91,Berry St at King St,SF-L28,37.77176211,-122.39843756,3,,23,,,true,POINT(-122.39843756 37.77176211)
373,Potrero del Sol Park (25th St at Utah St),SF-R26,37.75179165,-122.4052155,3,,23,,,true,POINT(-122.405215502 37.751791645)
127,Valencia St at 21st St,SF-P22,37.7567083,-122.421025,3,,23,,,true,POINT(-122.421025 37.7567083)
109,17th St at Valencia St,SF-N22-2,37.763332999999996,-122.4220555,3,,23,,,true,POINT(-122.4220555 37.763333)
98,Valencia St at 16th St,SF-M22-2,37.765429,-122.42188999999999,3,,23,,,true,POINT(-122.42189 37.765429)
121,Mission Playground,SF-O22,37.7592103,-122.4213392,3,,23,,,true,POINT(-122.4213392 37.7592103)
110,17th & Folsom Street Park (17th St at Folsom St),SF-N23,37.7637085,-122.4152042,3,,23,,,true,POINT(-122.4152042 37.7637085)
139,Garfield Square (25th St at Harrison St),SF-R24,37.750945,-122.4120835,3,,23,,,true,POINT(-122.4120835 37.750945)
133,Valencia St at 22nd St,SF-Q22-1,37.7552126,-122.4209752,3,,23,,,true,POINT(-122.4209752 37.7552126)
134,Valencia St at 24th St,SF-Q22-2,37.7524278,-122.4206278,3,,23,,,true,POINT(-122.4206278 37.7524278)
